0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.0046,0.0186,0.0004,0.0001,4.9217,23.7504,0.1223,0.0002,0.0191,1601.2,146.5658,1676.0,0.0,-3.2267,13.2969,1676.0,758.0,1607.8272,0.0
0.0173,0.016,0.017,0.0164,1.1904,1.0759,0.0685,0.0001,0.0235,314.4,249.3719,249.0,0.0,4.4376,19.55,1614.0,247.0,400.5144,0.0
0.0744,0.3296,0.0003,0.0001,7.4183,61.9328,3.0286,0.0002,0.3363,451.42,463.3677,236.0,2.9652,1.9756,2.274,1676.0,228.0,645.2461,0.0
0.0158,0.0339,0.0021,0.0,2.4381,5.106,0.1661,0.0002,0.0373,1507.74,328.0942,1596.0,0.0,-3.4041,9.8541,1646.0,222.0,1542.676,0.0
0.3601,0.9423,0.0048,0.0069,3.4513,12.6163,5.4568,0.0001,1.0044,293.29,112.5302,232.0,14.826,2.5839,9.6865,938.0,222.0,313.9354,0.0
0.0043,0.0195,0.0,0.0,6.0844,40.646,0.1413,0.0,0.0198,915.18,578.1531,1214.0,355.824,-0.6345,1.6086,1594.0,76.0,1080.9592,1.0
0.0047,0.0065,0.0005,0.0007,1.2776,3.4488,0.0227,0.0,0.008,577.22,699.3923,88.0,17.7912,0.7485,1.6185,1610.0,76.0,904.1244,1.0
0.0144,0.0287,0.0005,0.0004,1.9482,2.5152,0.1105,0.0001,0.0319,1173.06,618.5429,1676.0,0.0,-0.5334,-1.5766,1676.0,228.0,1324.7034,0.0
0.0028,0.0063,0.0007,0.0005,4.7136,25.0047,0.046,0.0001,0.0069,1566.97,369.3655,1676.0,0.0,-3.1728,8.3503,1676.0,222.0,1609.4911,0.0
0.6556,1.4861,0.028,0.0413,4.1604,22.8703,11.026,0.0,1.6175,343.73,293.0819,232.0,14.826,3.4926,11.6882,1646.0,222.0,450.7642,0.0
0.002,0.005,0.0,0.0,2.7339,9.5724,0.0223,0.0,0.0054,1090.1,711.9303,1610.0,0.0,-0.6791,1.5105,1610.0,76.0,1300.0363,1.0
0.0396,0.301,0.0004,0.0001,9.4,88.9658,2.987,0.0001,0.3021,1260.46,391.6182,1476.0,0.0,-1.4585,0.5088,1476.0,222.0,1319.3144,0.0
0.0042,0.008,0.0008,0.0007,2.687,6.3956,0.0356,0.0003,0.009,1577.35,243.5075,1676.0,0.0,-4.0121,16.897,1676.0,289.0,1595.8496,0.0
0.0004,0.0001,0.0004,0.0001,2.1555,10.9965,0.0012,0.0001,0.0004,1424.64,226.3802,1476.0,0.0,-4.6411,21.0584,1476.0,222.0,1442.3365,0.0
1.2189,4.7042,0.0009,0.001,4.3075,17.829,25.8978,0.0001,4.8367,923.95,658.9958,756.0,791.7084,0.0751,-1.9054,1646.0,222.0,1132.9679,0.0
0.6902,4.7312,0.004,0.0058,8.3816,73.4992,44.832,0.0001,4.7578,964.45,645.994,901.0,1006.6854,0.0209,-1.8356,1676.0,222.0,1159.0077,0.0
0.1273,0.2923,0.0003,0.0002,2.7966,7.9734,1.553,0.0001,0.3174,359.0,347.1285,222.0,0.0,2.9525,7.5087,1614.0,222.0,498.1709,0.0
0.0047,0.0187,0.0,0.0,5.9539,39.3628,0.1289,0.0,0.0191,876.91,580.2985,1142.0,468.5016,-0.5001,1.5046,1590.0,76.0,1049.9286,1.0
0.0077,0.018,0.0018,0.0022,3.2896,10.8218,0.0994,0.0002,0.0195,1503.96,371.8865,1676.0,0.0,-2.5915,5.4489,1676.0,282.0,1548.8099,0.0
0.1117,0.1743,0.0444,0.0653,3.12,12.3891,1.055,0.0001,0.2063,1566.42,248.2601,1676.0,0.0,-4.2648,19.4558,1676.0,228.0,1585.7769,0.0
0.0032,0.0068,0.0003,0.0004,2.5709,8.8685,0.0303,0.0,0.0075,828.14,631.782,1318.0,183.8424,-0.3,1.1356,1454.0,76.0,1039.6984,1.0
0.0056,0.0078,0.0008,0.0012,1.1681,2.7815,0.024,0.0,0.0096,121.59,58.7668,88.0,17.7912,0.8885,1.9312,224.0,76.0,134.919,1.0
0.0031,0.0065,0.0003,0.0004,2.2418,6.8049,0.0272,0.0,0.0071,781.1,708.2859,684.0,901.4208,0.1189,1.1347,1610.0,76.0,1052.0311,1.0
0.0097,0.0187,0.0022,0.0028,3.4064,15.3348,0.1286,0.0001,0.021,949.47,673.8481,822.5,890.3013,-0.0148,-1.9125,1676.0,222.0,1162.3355,0.0
0.0011,0.0018,0.0004,0.0002,3.3228,12.7208,0.0104,0.0001,0.0021,1378.55,518.4949,1646.0,0.0,-1.5409,0.5842,1646.0,228.0,1471.9201,0.0
0.0026,0.0059,0.0002,0.0003,2.6594,9.5414,0.03,0.0,0.0064,846.66,746.4419,642.5,839.8929,0.0156,1.0506,1610.0,76.0,1126.2491,1.0
0.0003,0.0011,0.0,0.0,7.6921,66.7994,0.0101,0.0,0.0011,131.16,21.8594,138.0,0.0,-2.8224,6.0267,138.0,62.0,132.9511,1.0
0.0004,0.0012,0.0001,0.0001,6.1006,44.7999,0.0101,0.0,0.0012,88.6,36.4323,62.0,0.0,0.6196,-1.6322,138.0,62.0,95.7288,1.0
0.002,0.0052,0.0002,0.0003,2.8059,9.6535,0.0217,0.0,0.0055,935.84,725.2425,1422.0,278.7288,-0.2398,1.1443,1610.0,76.0,1181.7417,1.0
0.002,0.0058,0.0003,0.0,4.5982,23.4023,0.0414,0.0001,0.0061,1409.27,246.4222,1476.0,0.0,-3.7812,13.5544,1476.0,222.0,1430.44,0.0
0.5139,2.6587,0.0182,0.0268,8.624,78.3572,25.7568,0.0001,2.6948,731.45,656.7232,270.0,71.1648,0.6806,-1.4893,1676.0,222.0,980.8117,0.0
0.052,0.2594,0.0008,0.0,5.6281,32.1014,1.8411,0.0002,0.2633,1603.3,318.4884,1676.0,0.0,-4.0677,14.6934,1676.0,222.0,1634.3168,0.0
0.0001,0.0002,0.0001,0.0001,1.9316,3.9212,0.0006,0.0,0.0002,86.32,35.6308,62.0,0.0,0.7602,-1.4362,138.0,62.0,93.3167,1.0
0.0003,0.0011,0.0001,0.0002,7.2561,56.0944,0.0101,0.0,0.0012,86.5,35.5214,62.0,0.0,0.7577,-1.4368,138.0,62.0,93.442,1.0
0.1651,0.6164,0.0062,0.0082,4.2891,17.7734,3.6251,0.0001,0.6351,653.77,460.9388,343.0,179.3946,0.7103,-1.0799,1614.0,222.0,798.5957,0.0
0.0002,0.0002,0.0001,0.0001,1.3707,0.4144,0.0007,0.0,0.0003,110.64,36.6638,138.0,0.0,-0.5746,-1.6864,138.0,62.0,116.4989,1.0
0.0003,0.0011,0.0,0.0,7.7085,67.022,0.0101,0.0,0.0011,130.08,25.5919,138.0,0.0,-2.1779,3.0685,153.0,62.0,132.5489,1.0
0.0005,0.0009,0.0001,0.0002,2.2661,3.2775,0.0031,0.0,0.001,86.32,35.6308,62.0,0.0,0.7602,-1.4362,138.0,62.0,93.3167,1.0
0.0002,0.0003,0.0001,0.0001,2.2129,3.4318,0.0012,0.0,0.0004,106.08,37.6994,138.0,0.0,-0.3193,-1.9169,138.0,62.0,112.5167,1.0
0.005,0.008,0.0008,0.0012,1.9939,7.5233,0.0438,0.0,0.0094,110.99,46.3647,88.0,17.7912,1.0657,2.2962,198.0,76.0,120.1955,1.0
0.003,0.0057,0.0002,0.0003,1.7599,4.5391,0.02,0.0,0.0064,876.12,655.6056,1386.0,154.1904,-0.3612,1.1722,1534.0,76.0,1092.2943,1.0
0.0037,0.0089,0.0002,0.0002,3.0279,12.3672,0.0508,0.0,0.0096,870.83,676.0052,1284.0,453.6756,-0.2365,1.1566,1594.0,76.0,1100.3445,1.0
0.0055,0.0076,0.0006,0.0009,1.1415,2.7733,0.0221,0.0,0.0094,112.61,46.407,88.0,17.7912,0.9638,2.0956,198.0,76.0,121.709,1.0
0.0036,0.008,0.0002,0.0003,3.1866,15.2427,0.0502,0.0,0.0087,858.4,642.6244,1294.0,349.8936,-0.2951,1.1924,1538.0,76.0,1070.3677,1.0
0.0004,0.0008,0.0001,0.0001,2.5057,4.7867,0.003,0.0,0.0009,104.56,37.9155,138.0,0.0,-0.2381,-1.9626,138.0,62.0,111.1575,1.0
0.0055,0.0075,0.0008,0.0011,1.1556,2.7741,0.0227,0.0,0.0093,116.14,56.538,88.0,8.8956,1.1724,2.4814,224.0,76.0,129.0468,1.0
0.0003,0.0007,0.0001,0.0002,3.0374,8.5507,0.003,0.0,0.0007,105.32,37.8153,138.0,0.0,-0.2786,-1.9415,138.0,62.0,111.8392,1.0
0.002,0.0032,0.0009,0.0005,4.9977,30.4089,0.0257,0.0,0.0037,1461.74,375.8292,1596.0,0.0,-2.7736,5.8649,1596.0,232.0,1508.8138,0.0
0.0254,0.1803,0.0004,0.0003,9.4222,89.3073,1.7926,0.0001,0.1812,1546.03,398.6228,1676.0,0.0,-2.8052,6.0963,1676.0,228.0,1596.0952,0.0
0.0007,0.003,0.0002,0.0001,8.5019,75.6698,0.0289,0.0,0.0031,87.16,19.0315,80.0,0.0,2.0266,2.164,134.0,76.0,89.1933,1.0
0.0002,0.0003,0.0,0.0,1.6633,1.0679,0.0011,0.0,0.0004,115.2,35.003,138.0,0.0,-0.8598,-1.2732,138.0,62.0,120.3495,1.0
0.0012,0.0059,0.0003,0.0,8.5193,75.9522,0.057,0.0001,0.006,1425.9,246.6759,1476.0,0.0,-4.6246,19.5836,1476.0,222.0,1446.8695,0.0
0.0102,0.0413,0.0003,0.0001,5.4037,29.6998,0.2794,0.0003,0.0424,1654.56,105.5633,1676.0,0.0,-4.6246,19.5831,1676.0,1140.0,1657.8905,0.0
0.0037,0.008,0.0001,0.0001,2.7009,10.8685,0.0453,0.0,0.0087,852.64,600.272,1234.0,320.2416,-0.4287,1.3008,1514.0,76.0,1041.0179,1.0
0.0002,0.001,0.0,0.0,9.0159,84.0048,0.0101,0.0,0.001,103.31,41.0111,138.0,22.239,0.0074,-1.9551,153.0,62.0,111.0768,1.0
0.0002,0.0003,0.0001,0.0002,2.128,3.2257,0.0011,0.0,0.0003,96.2,38.0,62.0,0.0,0.198,-1.9803,138.0,62.0,103.3634,1.0
21.0074,176.0522,0.0001,0.0,9.1244,84.6202,1723.4985,0.0001,176.4249,242.64,31.058,228.0,0.0,1.0747,-0.291,300.0,204.0,244.5999,0.0
0.0041,0.0109,0.0001,0.0002,3.2815,13.8719,0.0595,0.0,0.0116,840.63,585.1821,1260.0,121.5732,-0.5014,1.2967,1398.0,76.0,1022.5813,1.0
